batch_size,sequence_length,dim_size,active_heads,active_ffn,avg_latency,std_latency
16,128,4096,4,7168,116.5015968322754,0.05005122935535993
16,128,4096,4,7680,116.53516235351563,0.022173290517158696
16,128,4096,4,8192,116.49590759277343,0.030360494731349677
16,128,4096,4,8704,116.47412490844727,0.046453464103169376
16,128,4096,4,9216,116.44157028198242,0.03812428223026355
16,128,4096,4,9728,116.54963607788086,0.07461438936480047
16,128,4096,4,10240,116.48154220581054,0.04016902464140599
16,128,4096,4,10752,116.47977142333984,0.03766524030724683
16,128,4096,5,256,116.44712295532227,0.042397022097044226
16,128,4096,5,512,116.51633071899414,0.06032211249596692
16,128,4096,5,1024,116.45626602172851,0.03743474456594146
16,128,4096,5,1536,116.51823654174805,0.046899627639635684
16,128,4096,5,2048,116.50722808837891,0.044709994207291964
16,128,4096,5,2560,116.51087036132813,0.09290650235002516
16,128,4096,5,3072,116.46955261230468,0.06979118177489549
16,128,4096,5,3584,116.51276550292968,0.08179913964684384
16,128,4096,5,4096,116.4338981628418,0.04042724410364089
16,128,4096,5,4608,116.53343963623047,0.05500394724707616
16,128,4096,5,5120,116.50176620483398,0.03950616920290716
16,128,4096,5,5632,116.51451873779297,0.04557357871335387
16,128,4096,5,6144,116.4479736328125,0.04015794089135087
16,128,4096,5,6656,116.54448318481445,0.07344315330277346
16,128,4096,5,7168,116.48733520507812,0.06486667711034629
16,128,4096,5,7680,116.51303024291992,0.02779351221883224
16,128,4096,5,8192,116.53724517822266,0.05421432172998209
16,128,4096,5,8704,116.45074920654297,0.04231044148749544
16,128,4096,5,9216,116.44184036254883,0.0386772782125548
16,128,4096,5,9728,116.4752197265625,0.04920490532347572
16,128,4096,5,10240,116.47465362548829,0.03560685782958529
16,128,4096,5,10752,116.46622695922852,0.03683645060234727
16,128,4096,6,256,116.47026214599609,0.03498732823459922
16,128,4096,6,512,116.52413406372071,0.16565289666071728
16,128,4096,6,1024,116.44687042236328,0.04488963348792075
16,128,4096,6,1536,116.54290008544922,0.06018050621275096
16,128,4096,6,2048,116.44273834228515,0.041868765506112994
16,128,4096,6,2560,116.47776412963867,0.0470909436074999
16,128,4096,6,3072,116.46443786621094,0.03509898966515524
16,128,4096,6,3584,116.28877792358398,0.06235833485936652
16,128,4096,6,4096,116.27881469726563,0.03929271685359977
16,128,4096,6,4608,116.24811553955078,0.019711396789567258
16,128,4096,6,5120,116.44028854370117,0.053142012544900745
16,128,4096,6,5632,116.25369567871094,0.06412246618972048
16,128,4096,6,6144,116.51815795898438,0.08610300266739987
16,128,4096,6,6656,116.43387908935547,0.03078029317778652
16,128,4096,6,7168,116.51022720336914,0.04097094632033284
16,128,4096,6,7680,116.42533798217774,0.032954734855014926
16,128,4096,6,8192,116.50311813354492,0.07664093875021807
16,128,4096,6,8704,116.43595657348632,0.03326261570171057
16,128,4096,6,9216,116.51679382324218,0.04942330784684936
16,128,4096,6,9728,116.48061447143554,0.02977159876534924
16,128,4096,6,10240,116.54347686767578,0.07976721523373576
16,128,4096,6,10752,116.2720817565918,0.0375970083419287
16,128,4096,7,256,116.19647750854492,0.03802647825407478
16,128,4096,7,512,116.20023651123047,0.019480857272411053
16,128,4096,7,1024,116.30483551025391,0.02728552456069938
16,128,4096,7,1536,116.47041931152344,0.04378579231713631
16,128,4096,7,2048,116.47551727294922,0.06072438391580168
16,128,4096,7,2560,116.48745803833008,0.030718429595486235
16,128,4096,7,3072,116.46060180664062,0.05571119619746628
16,128,4096,7,3584,116.46877822875976,0.031698141033061504
16,128,4096,7,4096,116.28175354003906,0.0826370253486238
16,128,4096,7,4608,116.51729278564453,0.056600027312809595
16,128,4096,7,5120,116.4612419128418,0.03843761327561352
16,128,4096,7,5632,116.44388046264649,0.04426208292231871
16,128,4096,7,6144,116.49784393310547,0.03619289914797275
16,128,4096,7,6656,116.42920989990235,0.031228642727894242
16,128,4096,7,7168,116.53810272216796,0.05615978593850802
16,128,4096,7,7680,116.49751586914063,0.0679312083172521
16,128,4096,7,8192,116.48592987060547,0.04086915694684212
16,128,4096,7,8704,116.47411804199218,0.0377875257609018
16,128,4096,7,9216,116.58955383300781,0.058970821458419025
16,128,4096,7,9728,116.48288116455078,0.06961829155069603
16,128,4096,7,10240,116.44053192138672,0.05584767817696737
16,128,4096,7,10752,116.53972702026367,0.05238676690534861
16,128,4096,8,256,116.49921264648438,0.04111073057344904
16,128,4096,8,512,116.48425369262695,0.055704285332559236
16,128,4096,8,1024,116.46767654418946,0.033439463737472856
16,128,4096,8,1536,116.43271484375,0.051747072743038525
16,128,4096,8,2048,116.48992309570312,0.04767585894743587
16,128,4096,8,2560,116.46458282470704,0.05024003208089124
16,128,4096,8,3072,116.49602890014648,0.05476825822930011
16,128,4096,8,3584,116.4367172241211,0.03244271079253279
16,128,4096,8,4096,116.47626876831055,0.05530206791064245
16,128,4096,8,4608,116.45895767211914,0.04278192167233981
16,128,4096,8,5120,116.50149841308594,0.038813427125930736
16,128,4096,8,5632,116.46169662475586,0.047979232986589605
16,128,4096,8,6144,116.48473281860352,0.041162979360292104
16,128,4096,8,6656,116.49742126464844,0.05168034473637052
16,128,4096,8,7168,116.42935562133789,0.04131321242199213
16,128,4096,8,7680,116.50494918823242,0.03973124682099219
16,128,4096,8,8192,116.44257736206055,0.0490823804397112
16,128,4096,8,8704,116.53981857299804,0.05249903510302765
16,128,4096,8,9216,116.46665267944336,0.07606014556827019
16,128,4096,8,9728,116.46696624755859,0.028910794013727575
16,128,4096,8,10240,116.42854385375976,0.03857902235138388
16,128,4096,8,10752,116.43830871582031,0.05169053180714257
16,128,4096,9,256,116.49949493408204,0.03891954711101517
16,128,4096,9,512,116.44659881591797,0.03395881716038223
16,128,4096,9,1024,116.2834701538086,0.039158955487846404
16,128,4096,9,1536,116.4384765625,0.051479399611447645
16,128,4096,9,2048,116.48836517333984,0.06714518134031947
16,128,4096,9,2560,116.40721740722657,0.028726965580771542
16,128,4096,9,3072,116.46718139648438,0.040077980567112315
16,128,4096,9,3584,116.54642181396484,0.05604195007708049
16,128,4096,9,4096,116.49792098999023,0.03209500938778703
16,128,4096,9,4608,116.49023666381837,0.05186465657573508
16,128,4096,9,5120,116.53203582763672,0.06947385350781055
16,128,4096,9,5632,116.50192413330078,0.0504253127365324
16,128,4096,9,6144,116.52824096679687,0.0355759644103094
16,128,4096,9,6656,116.50249099731445,0.05900195674163981
16,128,4096,9,7168,116.50640335083008,0.03845120126829256
16,128,4096,9,7680,116.52980422973633,0.07979640194563428
16,128,4096,9,8192,116.49841003417968,0.06611224950931988
16,128,4096,9,8704,116.25372772216797,0.033538883129331544
16,128,4096,9,9216,116.25906524658203,0.06165316909923279
16,128,4096,9,9728,116.30692520141602,0.05694487245402
16,128,4096,9,10240,116.47317504882812,0.03265789576825504
16,128,4096,9,10752,116.47684783935547,0.04140700292352576
16,128,4096,10,256,116.47423553466797,0.027131633266173533
16,128,4096,10,512,116.50218124389649,0.060882536661049
16,128,4096,10,1024,116.45587539672852,0.04271716955667144
16,128,4096,10,1536,116.47978286743164,0.10707678811822006
16,128,4096,10,2048,116.52925109863281,0.06631445614752929
16,128,4096,10,2560,116.48301010131836,0.023816295488318814
16,128,4096,10,3072,116.44530563354492,0.03523577207378768
16,128,4096,10,3584,116.49765701293946,0.049207012073255785
16,128,4096,10,4096,116.45671463012695,0.032891548937239015
16,128,4096,10,4608,116.47934112548828,0.05213546502282272
16,128,4096,10,5120,116.5548599243164,0.2680651332524478
16,128,4096,10,5632,116.43415908813476,0.040332805475153846
16,128,4096,10,6144,116.46598739624024,0.0264016236610612
16,128,4096,10,6656,116.45555038452149,0.04189355370158006
16,128,4096,10,7168,116.46596755981446,0.030219833163423027
16,128,4096,10,7680,116.44175033569336,0.033092451499003736
16,128,4096,10,8192,116.47001266479492,0.03662043765592954
16,128,4096,10,8704,116.55625534057617,0.05621174264756844
16,128,4096,10,9216,116.50109176635742,0.0518496700780842
16,128,4096,10,9728,116.59414672851562,0.05764401587116092
16,128,4096,10,10240,116.51271057128906,0.05529868933693569
16,128,4096,10,10752,116.52363510131836,0.02620247313937801
16,128,4096,11,256,116.50477752685546,0.04343798584374753
16,128,4096,11,512,116.46428146362305,0.03871501401119852
16,128,4096,11,1024,116.48904647827149,0.06659845199568386
16,128,4096,11,1536,116.45650024414063,0.035593950492714535
16,128,4096,11,2048,116.53343505859375,0.046956193808985046
16,128,4096,11,2560,116.46921310424804,0.05734218447583088
16,128,4096,11,3072,116.47101135253907,0.06488635485052001
16,128,4096,11,3584,116.52419815063476,0.0533805804205121
16,128,4096,11,4096,116.52943649291993,0.06906430596020831
16,128,4096,11,4608,116.20387802124023,0.03424599755637149
16,128,4096,11,5120,116.27364730834961,0.1213601883528371
16,128,4096,11,5632,116.26842880249023,0.047469176090749125
16,128,4096,11,6144,116.53402938842774,0.0504356816602206
16,128,4096,11,6656,116.46044845581055,0.03797946122857956
16,128,4096,11,7168,116.50779724121094,0.04722230912610391
16,128,4096,11,7680,116.44372482299805,0.04326468134250186
16,128,4096,11,8192,116.56299362182617,0.07183567810572479
16,128,4096,11,8704,116.26902389526367,0.06709961572305485
16,128,4096,11,9216,116.28676910400391,0.06205326430768132
